# Shelf — mention-resolution labels for the keyboards category (M9).
#
# One line per (raw mention, seed product) pair: does this text refer to that catalog product?
# Written by hand from the text alone — before any mention matcher existed or scored anything —
# over the real corpus `shelf ingest` read on 2026-09-17: 3,206 YouTube rows (96 uploads, 3,110
# top-level comments) from three keyboard channels (Hipyo Tech, Alexotos, Keybored), against the
# 50 keyboard seed products. Candidate rows were pulled by a plain token scan for any catalog brand
# or model-family word (a substring grep, not a scorer); every pair below was then read and judged.
#
# Policy. A pair matches when the text names that product specifically — owned, wanted, asked
# about, reviewed, recommended, linked in a description, in any colourway or layout — including
# shorthand a reader would resolve without doubt ("gmmk pro", "rainy 75 pro", "Hack 70" for the
# HACK70, a typo like "duck one x mini"). It does not match when the text names a sibling in the
# same line (Q3 HE is not the Q6 HE; 80HE is not the 60HE+; K2 HE / K2 Max are not the K2 Ultra;
# a bare "HE75 V2" is not the HE75 V2 TMR — the catalog product is the TMR variant and one
# comment says "no TMR" outright), a same-named product from another maker (Yunzii's RT75 Pro is
# not Epomaker's RT75), a family or brand without a model ("that HHKB", "the full sized tofu",
# "what's wrong with Keychron"), an English word that happens to be a model ("my studio", "dry
# studio" for the HHKB Studio), or a different product whose name shares a token.
#
# Frozen 2026-09-17 before the first score. What is tuned after measuring is the matcher and the
# category config (aliases), and docs/benchmarks/m9-mention-resolution.md says which.
#
# source	source_id	excerpt	brand	model	match	note
youtube_comment	Ugw9Fosms10MSbnha6h4AaABAg	Day 1 of asking Hipyo to review the Ducky One X Mini Wireless	Ducky	One X Mini	true	named in full
youtube_comment	UgwpVBqw24o5PV9dNcR4AaABAg	day 2 ofasking hipyo to review the duck one x mini wireless	Ducky	One X Mini	true	brand typo, model whole
youtube_video	KGKtbvOczTg	I Tried the Strangest keyboard on Amazon... | I tried the Epomaker Hack 70 keyboard	Epomaker	HACK70	true	written as two tokens; the description also links epomaker-hack70
youtube_comment	Ugwd93eaHZ6djEwAyJl4AaABAg	this epomaker hack 70 has the same silhouette as my cidoo qk61	Epomaker	HACK70	true	two tokens
youtube_video	O-QJvTKotAM	Don't Buy A Hall Effect keyboard... | I look at the Epomaker HE75 V2 TMR	Epomaker	HE75 V2 TMR	true	named in full
youtube_comment	UgxIbZJFvCFIida5gD94AaABAg	I got my start in the hobby with a keychron and unfortunately a gmmk pro	Glorious	GMMK Pro	true	brand unstated, model distinctive
youtube_comment	UgzSGXWcWunIvy_X-iJ4AaABAg	my orange Athena 75 just showed up	KBDfans	Athena 75	true	brand unstated
youtube_video	DKpH1QdcOHc	Athena 75 w/ Keygeek SU Color V2	KBDfans	Athena 75	true	title
youtube_comment	Ugx_MMLui1DOeA4PV7d4AaABAg	i have the keychron Q15 Max ... and i absolutely love it!	Keychron	Q15 Max	true	named in full
youtube_comment	UgzdF-1lOzwBbfrM8Q14AaABAg	I was eyeing the Rainy 75 pro black with DE-ISO for 135€	WOBKEY	Rainy 75 Pro	true	brand unstated, colourway
