# Shelf — mention-sentiment labels for the keyboards category (M9).
#
# One line per (raw mention, product phrase): what does the text say about the product named by
# that phrase — positive, negative or neutral? Keyed by the phrase as written (normalized on
# whole tokens the way the matcher normalizes), not by a catalog product, so that the sample is
# not starved by how few catalog products these channels happen to discuss: sentiment is read the
# same way whether or not the product is in the seed list. Written by hand before any sentiment
# rule or lexicon existed, over the same real corpus as keyboards-mention-resolution.tsv.
#
# Policy. Positive when the author praises, recommends, or is glad about the product ("love it",
# "sounds so good", "just get a", "can't go wrong", "trust me"); negative when they disparage,
# regret, returned it, or it loses a comparison the author makes ("sucked", "TRASH", "returned it
# so fast", "a step up from the X" → X negative); neutral when the text only asks, requests a
# review, names it, or reports a fact ("is it worth it", "day 1 of asking", "on sale"). Questions
# are neutral even when leading ("what's wrong with Keychron?").
#
# Frozen 2026-09-17 before the first rule ran.
#
# source	source_id	phrase	sentiment	note
youtube_comment	UgyMlsdsHrMwPOjYJ3h4AaABAg	wooting 80he	positive	it sounds so good
youtube_comment	UgzMkbrnHGDHahO3MV94AaABAg	epomaker th80	positive	really cute and creamy
youtube_comment	UgwxSenwJawphoyKs9p4AaABAg	epomaker th80 se	positive	still amazing, everything else is perfect
youtube_comment	UgzVGib58LcYRpyEbPF4AaABAg	epomaker th80 pro v2	positive	soooo much better than the Dell
youtube_comment	Ugy2IM92GU_whJusD4d4AaABAg	yunzii rt75 pro	positive	my main keyboard and it's great
youtube_comment	Ugz2ijXS0HjkMFcqCuF4AaABAg	yunzii rt75 pro	positive	sound really nice
youtube_comment	UgwZu8mjyFoct_To9il4AaABAg	keychron q3 he	positive	its so creamy
youtube_comment	UgxjQS9c9ESqGMoO3zJ4AaABAg	keychron q3 he	positive	sound kinda creamy
youtube_comment	UgwN80EZS5W9KUSCvnZ4AaABAg	epomaker g84 he	positive	sounds incredibly creamy
youtube_comment	Ugx_MMLui1DOeA4PV7d4AaABAg	keychron q15 max	positive	absolutely love it
youtube_comment	UgzSGXWcWunIvy_X-iJ4AaABAg	athena 75	positive	nice to see another build
youtube_comment	UgzdF-1lOzwBbfrM8Q14AaABAg	rainy 75 pro	positive	can't really go wrong
youtube_comment	Ugwd93eaHZ6djEwAyJl4AaABAg	epomaker hack 70	positive	looks cool tho
youtube_comment	UgxDiueWHeI_sUWfPAd4AaABAg	keychron k2 he se	positive	happy with my stock
youtube_comment	UgzfnxQdj1w-GIXJLaN4AaABAg	epomaker he108	positive	glad with it
youtube_comment	UgwkAD3zVczPaFmyfwR4AaABAg	melgeek	positive	luxurious, highly recommend
youtube_video	4APvQf436YM	lofree hyzen	positive	most OP keyboard, ticks all the boxes
youtube_video	k-2UfjwdDaE	neo75	positive	is more than great
youtube_comment	UgyhI5JW5Cl6nSUqb1h4AaABAg	th98	positive	it's nice
youtube_comment	UgxeNU7iVW9ZvhbJH5h4AaABAg	gmmk 2	positive	sounds good, easy to mod
youtube_comment	Ugz7AvU3ILyyNUh9Ocd4AaABAg	magi75 pro	positive	blew me away, all time favorite
youtube_comment	UgwiJKogEpWUPRLZJPp4AaABAg	epomaker	positive	I do really love Epomaker's keyboards
youtube_comment	Ugxmhinwqy3EVh1PWnF4AaABAg	hhkb	positive	the sound is now so much better
youtube_comment	UgzpXtfG5Rmg4vwawd14AaABAg	wooting 80he	positive	just get a ... at this point
youtube_comment	UgwLsxsC3j50fvtGiop4AaABAg	akko tac 75 he	positive	trust me twin
youtube_comment	Ugz50fUOJX66MEO3UfB4AaABAg	aula 80 he	positive	super cheap compared to
